QID90_1,QID90_2,QID90_3,Q22_1,Q92_1,Q92_2,Q92_3,Q100_1,Q100_2,Q61,Q20,Age,Gender,Household_size,Q28,bed,empa,Q92_2r,maskePo
1,1,1,5,5,5,5,4,4,2,1,28.00,2,2.00,Gestern zum Mittag gab es HotDogs.,1.00,1.00,1.00,3.00
4,3,2,4,5,1,5,3,4,2,1,25.00,2,3.00,Kartoffeltomaten-Auflauf,2.00,3.00,5.00,5.00
5,5,5,5,3,1,5,2,3,2,1,45.00,2,3.00,Sandwich,2.00,5.00,5.00,4.00
1,1,1,1,3,2,5,3,3,2,1,31.00,2,2.00,Kirschen,1.00,1.00,4.00,3.50
5,5,5,5,5,1,5,4,4,1,1,71.00,1,2.00,Kartoffeln,2.00,5.00,5.00,5.00
1,1,1,1,1,5,5,1,1,2,1,31.00,1,2.00,Kartoffeln,0.00,1.00,1.00,1.00
1,1,1,5,2,3,5,4,4,1,1,30.00,2,1.00,Kaffeestückchen,1.00,1.00,3.00,2.50
4,4,4,4,5,1,5,2,3,2,1,27.00,1,1.00,Reisgericht,2.00,4.00,5.00,5.00
1,1,1,2,1,3,5,2,3,1,1,57.00,2,2.00,Gemüse,0.00,1.00,3.00,2.00
4,4,4,4,4,2,5,2,3,1,1,61.00,1,3.00,Nudeln,2.00,4.00,4.00,4.00
1,1,1,3,3,3,5,3,2,2,1,34.00,1,4.00,Nudel,1.00,1.00,3.00,3.00
1,1,1,4,4,2,5,2,2,2,1,23.00,1,1.00,Polenta,1.00,1.00,4.00,4.00
4,5,3,5,5,1,5,5,4,1,1,21.00,2,3.00,Grillfleisch,0.00,4.00,5.00,5.00
1,1,1,4,3,4,5,4,3,1,1,33.00,1,1.00,Döner Kebap,0.00,1.00,2.00,2.50
1,1,1,4,3,1,5,2,3,2,1,29.00,1,1.00,reis mit grünen bohnen,0.00,1.00,5.00,4.00
4,4,3,5,5,1,5,2,4,1,1,23.00,2,2.00,Türkisches Essen,2.00,3.67,5.00,5.00
